Leaderboard Rank Correlation Analysis Exam-Qrels
run_dir	data/car/carruns
method	min_rating	trec_eval_metric	spearman	kendall
data/car/NuggetSelfRatedPrompt.qrel	4	recip_rank	0.895	0.773
data/car/NuggetSelfRatedPrompt.qrel	5	recip_rank	0.839	0.738
data/car/Thomas.qrel	1	recip_rank	0.502	0.341
data/car/Thomas.qrel	3	recip_rank	nan	nan
data/car/Thomas.qrel	4	recip_rank	nan	nan
data/car/Thomas.qrel	5	recip_rank	nan	nan
data/car/FagB.qrel	1	recip_rank	0.558	0.432
data/car/FagB.qrel	3	recip_rank	nan	nan
data/car/FagB.qrel	4	recip_rank	nan	nan
data/car/FagB.qrel	5	recip_rank	nan	nan
data/car/FagB_few.qrel	1	recip_rank	0.507	0.394
data/car/FagB_few.qrel	3	recip_rank	nan	nan
data/car/FagB_few.qrel	4	recip_rank	nan	nan
data/car/FagB_few.qrel	5	recip_rank	nan	nan
data/car/HELM.qrel	1	recip_rank	0.533	0.450
data/car/HELM.qrel	3	recip_rank	nan	nan
data/car/HELM.qrel	4	recip_rank	nan	nan
data/car/HELM.qrel	5	recip_rank	nan	nan
data/car/Sun.qrel	1	recip_rank	0.589	0.450
data/car/Sun.qrel	3	recip_rank	nan	nan
data/car/Sun.qrel	4	recip_rank	nan	nan
data/car/Sun.qrel	5	recip_rank	nan	nan
data/car/Sun_few.qrel	1	recip_rank	0.498	0.333
data/car/Sun_few.qrel	3	recip_rank	nan	nan
data/car/Sun_few.qrel	4	recip_rank	nan	nan
data/car/Sun_few.qrel	5	recip_rank	nan	nan


